cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HERV	7637
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HTLV1	9571
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HERV	5991
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL234-C1_S07	HTLV1	9389
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL234-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL234-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL234-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL234-C1_S07	HERV	3332
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL221-C1_S05	HTLV1	9082
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL221-C1_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL221-C1_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL221-C1_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL221-C1_S05	HERV	7823
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HTLV1	8361
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P1_S01	HERV	6521
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HTLV1	7917
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL302-P10_S03	HERV	7978
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL202-C1_S02	HTLV1	7825
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL202-C1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL202-C1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL202-C1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL202-C1_S02	HERV	7723
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL247-C1_S06	HTLV1	7527
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL247-C1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL247-C1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL247-C1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL247-C1_S06	HERV	7341
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL206-C1_S08	HTLV1	7129
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL206-C1_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL206-C1_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL206-C1_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL206-C1_S08	HERV	7306
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HTLV1	7061
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL214-C1_S09	HERV	3889
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C1_S01	HTLV1	6916
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C1_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C1_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C1_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C1_S01	HERV	6123
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HTLV1	6240
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HERV	8481
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL230-C2_S01	HTLV1	5905
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL230-C2_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL230-C2_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL230-C2_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL230-C2_S01	HERV	4684
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HTLV1	5899
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P5_S03	HERV	2440
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL222-C1_S06	HTLV1	5236
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL222-C1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL222-C1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL222-C1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL222-C1_S06	HERV	6020
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HTLV1	4987
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HERV	8816
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HTLV1	3691
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL328-P2_S05	HERV	5253
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL204-C1_S03	HTLV1	3346
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL204-C1_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL204-C1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL204-C1_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL204-C1_S03	HERV	4659
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL238-C1_S07	HTLV1	3242
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL238-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL238-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL238-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL238-C1_S07	HERV	5784
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HTLV1	3103
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HERV	6576
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P5_S01	HTLV1	2913
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P5_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P5_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P5_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL303-P5_S01	HERV	1528
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL330-PD_S03	HTLV1	2668
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL330-PD_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL330-PD_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL330-PD_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL330-PD_S03	HERV	1595
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HTLV1	2503
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HERV	6780
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HTLV1	2471
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL227-C1_S03	HIV2	0
